"title","channel_title","category_id","category_desc","views","likes","dislikes","comment_total","day","month"
"Essential Kitchen Tools | Basics with Babish","Binging with Babish",24,"Entertainment",873704,54663,639,3854,19,1
"Gucci Mane - Enormous feat. Ty Dolla $ign [Official Audio]","OfficialGucciMane",10,"Music",736098,16212,599,794,19,1
"Kane Brown - What's Mine Is Yours","KaneBrownVEVO",10,"Music",581100,12566,369,288,19,1
"Beck - Colors (Slime Visualizer)","BeckVEVO",10,"Music",261345,5890,188,619,19,1
"Why Are You Anxious?","AsapSCIENCE",28,"Science & Technology",749380,22326,412,1015,19,1
"Field of Vision - A Night at the Garden","Field of Vision",22,"People & Blogs",21476,210,18,161,19,1
"John Legend - Penthouse Floor ft. Chance the Rapper","johnlegendVEVO",10,"Music",2558262,55427,2117,1808,19,1
"Hamburger Recipe | Crispy McDonald's Chicken hamburger By Our Grandpa for Orphan Kids","Grandpa Kitchen",26,"Howto & Style",1061941,34049,1155,6997,19,1
"Saquon Barkley - 2017 Highlights","GoPSUtv",17,"Sports",7510,13,0,0,19,1
"Guns N' Roses Feat. PINK! - Patience (Msg, Nyc) 10.11.17 (P!NK)","markit aneight",22,"People & Blogs",795286,6345,462,625,19,1
"A bell that rings two notes at once","Matthias Wandel",26,"Howto & Style",376940,12796,370,1140,19,1
"CARLIBYBELxMISSGUIDED FALL COLLECTION REVEAL!","Carli Bybel",26,"Howto & Style",1035419,39471,2296,7336,19,1
"I, TONYA [Official Teaser] – In Theaters Winter 2017","NEON",22,"People & Blogs",530724,3891,2240,1457,20,1
"Taylor Swift - Gorgeous (Lyric Video)","TaylorSwiftVEVO",10,"Music",497846,160690,5323,25341,20,1
"$10,000 DOG VS. $1 DOG","jacksfilms",23,"Comedy",1503164,137026,2660,11041,20,1
"MY GIRLFRIEND PICKS MY OUTFITS!","PewDiePie",23,"Comedy",1712576,127391,3052,18614,20,1
"My Dogs Try On Halloween Costumes","JennaMarbles",23,"Comedy",1860923,161727,1432,22639,20,1
"Pretending To Be Klay Thompson","BigDawsTv",23,"Comedy",3518471,135991,2810,10983,20,1
"Your Body Is Amazing Pt. 2","AsapSCIENCE",28,"Science & Technology",632964,19278,611,1766,20,1
"Detroit Pistons | #Trending: Eminem Surprises LCA Crowd","DetPistonsOfficial",17,"Sports",315973,2549,1867,1590,20,1
"Marvel's The Punisher | Official Trailer 2 [HD] | Netflix","Netflix",24,"Entertainment",1108676,35152,379,4024,20,1
"The Dump - Cyanide & Happiness Shorts","ExplosmEntertainment",23,"Comedy",962882,40065,3058,3626,20,1
"Charlie Puth - How Long [Official Video]","Charlie Puth",10,"Music",1594274,235388,2047,23351,20,1
"CONFRONTING MY FIRST LOVE","shane",22,"People & Blogs",3187915,312663,3746,41482,20,1
"I Love You, Daddy - Trailer","Trailers Promos Teasers",24,"Entertainment",403961,4779,934,1241,20,1
"Artie Lange Is Raw and Uncensored While Eating Spicy Wings | Hot Ones","First We Feast",26,"Howto & Style",486395,16905,534,3857,20,1
"KUWTK | Kourtney & Khloe Kardashian Prank a Sleeping Kendall Jenner | E!","E! Entertainment",24,"Entertainment",350973,6002,497,237,20,1
"Baez belts two homers as Cubs force Game 5: 10/18/17","MLB",17,"Sports",161571,665,114,377,20,1
"Jason Aldean, Keith Urban and More Cover “I Won’t Back Down” | 2017 CMT Artists of the Year","CMT",24,"Entertainment",80435,626,75,106,20,1
"The Real Reason Taxes Suck (And Why They Don't Have To)","CollegeHumor",23,"Comedy",1269490,38471,2137,5951,20,1
"Ellen Meets Las Vegas Survivors Jesus Campos and Stephen Schuck","TheEllenShow",24,"Entertainment",685676,10415,5361,0,20,1
"Rep. Frederica Wilson Recounts Trump's Call To Widow Of Fallen Soldier | The View","The View",25,"News & Politics",260214,2723,2433,3703,20,1
"Out Loud (Official Music Video)","Gabbie Hanna",26,"Howto & Style",2463574,315097,9018,66778,20,1
"12 STRONG - Official Trailer","Warner Bros. Pictures",24,"Entertainment",1126342,9258,669,1263,20,1
"The Voice 2017 - And Your 4th Coach Is… (Digital Exclusive)","The Voice",24,"Entertainment",342110,3832,258,844,20,1
"How David Fincher Hijacks Your Eyes","Nerdwriter1",24,"Entertainment",954116,55593,721,2603,20,1
"DANGEROUS Jungle Spider!","Brave Wilderness",15,"Pets & Animals",1319945,38949,533,6768,20,1
"Cardi B Performs Bodak Yellow","Jimmy Kimmel Live",23,"Comedy",195726,4952,726,795,20,1
"Pokemon fan jumps over fence @ white house","Happy",22,"People & Blogs",4737,28,27,26,20,1
"Saving An Iguana Four Miles Offshore","Key West Kayak Fishing",17,"Sports",327342,11075,78,1252,20,1
"Nintendo Switch - Video Capture","Nintendo",20,"Gaming",343558,19393,458,5010,20,1
"31 LAST MINUTE DIY HALLOWEEN COSTUMES","Smosh",23,"Comedy",502934,22625,1243,1513,20,1
"I'M HOLO INSIDE! Holographic scar makeup ft. Glam&Gore","Simply Nailogical",24,"Entertainment",1177430,70888,507,6462,20,1
"29 Facts about European Royalty - mental_floss List Show Ep. 520","Mental Floss",27,"Education",91189,2046,104,349,20,1
"The Talk - 'Destiny's Child' Michelle Williams Candid on Depression; 'I was suicidal'","The Talk",24,"Entertainment",28363,385,59,156,20,1
"The Chi (2018) | Season 1 Teaser Trailer | Lena Waithe & Common SHOWTIME Series","The Chi",24,"Entertainment",60405,584,112,266,20,1
"Walmart vs Amazon - Which Is More Successful - Company Comparison","The Infographics Show",27,"Education",273210,6518,269,1601,20,1
"Pregnancy Terminology with Dan & Phil! | MOTHERHOOD","Sprinkleofglitter",26,"Howto & Style",703260,69992,461,6341,20,1
"Tesla Model 3 - Driving Impression - OCDetailing®","OCDetailing",2,"Cars & Vehicles",237619,2263,361,673,20,1
"LaVar Ball Answers Basketball Questions From Twitter | Tech Support | WIRED","WIRED",17,"Sports",464790,14474,1048,1262,20,1
"Kelly Clarkson - Meaning of Life [Official Audio]","Kelly Clarkson",10,"Music",60247,2972,31,361,20,1
"Jeff Bezos smashes bottle of champagne while perched on top of a giant wind mill","Tech Insider",28,"Science & Technology",25541,510,94,129,20,1
"Gordon Hayward Addresses the Boston Celtics Home Crowd | October 18, 2017","NBA",17,"Sports",151497,4199,32,336,20,1
"IT’S F***ING RAW! | Kitchen Nightmares","Kitchen Nightmares",24,"Entertainment",615542,11178,190,1621,20,1
"THE GIANT ROBOT DUEL","MegaBots Inc",24,"Entertainment",2530033,28394,15165,10382,20,1
"Ultimate Pumpkin Carving Tool","William Osman",28,"Science & Technology",220522,9875,236,5883,20,1
"How well does my boyfriend know RIVERDALE? | Madelaine Petsch","Madelaine Petsch",22,"People & Blogs",648720,37350,252,1759,20,1
"World's First Aerial 360 Video Over North Korea 2017","nknewsorg",25,"News & Politics",532699,2153,307,1226,20,1
"Harry Potter Theory: Hufflepuff's Cup And Slytherin's Locket (ft. Seamus Gorman)","SuperCarlinBrothers",22,"People & Blogs",276533,14173,427,3462,20,1
"Demi Lovato: Simply Complicated - Official Documentary","Demi Lovato",24,"Entertainment",3578661,234750,2328,21653,20,1
"NEEDTOBREATHE - WALKING ON WATER [Official Video]","NEEDTOBREATHE",10,"Music",13357,815,11,82,20,1
"Top 10 Clara Moments","HiHo Kids",22,"People & Blogs",54472,4875,29,484,20,1
"[2017 MAMA] Best Female/Male Group Nominees","Mnet K-POP",24,"Entertainment",515038,32461,494,12934,20,1
"Stranger Things' Gaten Matarazzo Recaps Season 1 in Under 7 Minutes | Teen Vogue","Teen Vogue",24,"Entertainment",32240,2578,11,140,20,1
"Dejounte Murray Full Highlights 2017.10.18 vs Timberwolves - 16 Pts, 7-8 FGM!","FreeDawkins",17,"Sports",31929,576,8,300,20,1
