Amazon,,,,Starbucks,,,,Coca-Cola,,,,S&P 500,,,
date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return
3/21/2000,72.38,8.19,12.76,3/21/2000,4.3092,0.421,10.83,3/21/2000,15.5065,0.276,1.81,3/21/2000,106.7456,2.1466,2.05
3/22/2000,70.69,-1.69,-2.33,3/22/2000,4.3236,0.0144,0.33,3/22/2000,14.7601,-0.7464,-4.81,3/22/2000,107.394,0.6484,0.61
3/23/2000,67.69,-3,-4.24,3/23/2000,4.3512,0.0276,0.64,3/23/2000,14.7412,-0.0189,-0.13,3/23/2000,109.2275,1.8335,1.71
3/24/2000,72.69,5,7.39,3/24/2000,4.2672,-0.084,-1.93,3/24/2000,14.7412,0,0.00,3/24/2000,109.8759,0.6484,0.59
3/27/2000,73.13,0.44,0.61,3/27/2000,4.3236,0.0564,1.32,3/27/2000,14.1924,-0.5488,-3.72,3/27/2000,108.7132,-1.1627,-1.06
3/28/2000,70.13,-3,-4.10,3/28/2000,4.1921,-0.1315,-3.04,3/28/2000,14.0763,-0.1161,-0.82,3/28/2000,108.0872,-0.626,-0.58
3/29/2000,66.25,-3.88,-5.53,3/29/2000,4.3855,0.1934,4.61,3/29/2000,14.7036,0.6273,4.46,3/29/2000,108.1989,0.1117,0.10
3/30/2000,66.5,0.25,0.38,3/30/2000,4.3921,0.0066,0.15,3/30/2000,15.2305,0.5269,3.58,3/30/2000,106.3878,-1.8111,-1.67
3/31/2000,67,0.5,0.75,3/31/2000,4.9512,0.5591,12.73,3/31/2000,14.7224,-0.5081,-3.34,3/31/2000,107.5952,1.2074,1.13
4/3/2000,63.56,-3.44,-5.13,4/3/2000,4.5788,-0.3724,-7.52,4/3/2000,15.4658,0.7434,5.05,4/3/2000,108.2213,0.6261,0.58
4/4/2000,63.94,0.38,0.60,4/4/2000,4.7998,0.221,4.83,4/4/2000,16.4286,0.9628,6.23,4/4/2000,107.4164,-0.8049,-0.74
4/5/2000,62.19,-1.75,-2.74,4/5/2000,4.3711,-0.4287,-8.93,4/5/2000,14.9388,-1.4898,-9.07,4/5/2000,106.7456,-0.6708,-0.62
4/6/2000,64.25,2.06,3.31,4/6/2000,4.1501,-0.221,-5.06,4/6/2000,14.3492,-0.5896,-3.95,4/6/2000,107.6735,0.9279,0.87
