All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Dean A. Sarvis,555,104,92,58,"$1,308,391.00","$2,357.00",19.00%,254,46.00%,2016
Lindey Wade,468,75,77,52,"$1,300,090.00","$2,778.00",16.00%,204,44.00%,2016
"Eddie Martin, Jr.",532,67,70,61,"$1,298,702.00","$2,441.00",13.00%,198,37.00%,2016
Angel Castillo,268,35,34,51,"$1,295,793.00","$4,835.00",13.00%,120,45.00%,2016
"Carlos H. Marquez, Jr.",355,66,53,53,"$1,287,618.00","$3,627.00",19.00%,172,48.00%,2016
Julio A. Hernandez,585,64,68,71,"$1,282,647.00","$2,193.00",11.00%,203,35.00%,2016
Luis Antonio Gonzalez,557,71,74,91,"$1,278,047.00","$2,295.00",13.00%,236,42.00%,2016
Israel Ocampo,473,44,50,61,"$1,265,970.00","$2,676.00",9.00%,155,33.00%,2016
Wilmer A. Garcia,454,53,57,69,"$1,256,188.00","$2,767.00",12.00%,179,39.00%,2016
Julian Pimentel,223,37,37,31,"$1,253,892.00","$5,623.00",17.00%,105,47.00%,2016
Willie Martinez,418,59,62,52,"$1,241,908.00","$2,971.00",14.00%,173,41.00%,2016
Oscar Flores,414,74,56,66,"$1,239,755.00","$2,995.00",18.00%,196,47.00%,2016
Christopher A. Emigh,373,54,58,56,"$1,239,535.00","$3,323.00",14.00%,168,45.00%,2016
Michael J. Luzzi,266,25,25,36,"$1,230,998.00","$4,628.00",9.00%,86,32.00%,2016
Jonathan J. Gonzales,242,55,43,24,"$1,227,617.00","$5,073.00",23.00%,122,50.00%,2016
Jacqueline A. Davis,409,24,28,48,"$1,220,965.00","$2,985.00",6.00%,100,24.00%,2016
Scott A. Stevens,416,107,76,67,"$1,211,831.00","$2,913.00",26.00%,250,60.00%,2016
Javier Santiago,545,143,113,94,"$1,201,105.00","$2,204.00",26.00%,350,64.00%,2016
Taylor M. Hole,274,35,41,40,"$1,196,800.00","$4,368.00",13.00%,116,42.00%,2016
Miguel Angel Vasquez,400,42,50,67,"$1,183,247.00","$2,958.00",11.00%,159,40.00%,2016
Pierre Hernandez Ortega,177,43,30,22,"$1,175,242.00","$6,640.00",24.00%,95,54.00%,2016
Kerwin D. Clark,376,51,44,48,"$1,155,565.00","$3,073.00",14.00%,143,38.00%,2016
Chris R. Rosier,418,53,48,50,"$1,137,531.00","$2,721.00",13.00%,151,36.00%,2016
William P. Otero,414,61,47,53,"$1,132,701.00","$2,736.00",15.00%,161,39.00%,2016
Edgar Perez,508,79,74,63,"$1,119,922.00","$2,205.00",16.00%,216,43.00%,2016
Didiel A. Osorio,443,51,41,48,"$1,086,555.00","$2,453.00",12.00%,140,32.00%,2016
Malcolm Franklin,412,47,39,51,"$1,077,984.00","$2,616.00",11.00%,137,33.00%,2016
Jorge Martin Bourdieu,671,110,102,104,"$1,077,759.00","$1,606.00",16.00%,316,47.00%,2016
Gerry Olguin,309,30,33,40,"$1,069,567.00","$3,461.00",10.00%,103,33.00%,2016
"Floyd Wethey, Jr.",465,45,52,75,"$1,066,866.00","$2,294.00",10.00%,172,37.00%,2016
Victor Santiago,568,110,74,79,"$1,066,061.00","$1,877.00",19.00%,263,46.00%,2016
Roimes Chirinos,257,54,59,38,"$1,064,504.00","$4,142.00",21.00%,151,59.00%,2016
Curtis Kimes,450,78,79,47,"$1,053,899.00","$2,342.00",17.00%,204,45.00%,2016
Gerardo Mora,568,51,80,74,"$1,051,593.00","$1,851.00",9.00%,205,36.00%,2016
Pedro Guzman,531,61,71,73,"$1,038,386.00","$1,956.00",11.00%,205,39.00%,2016
Andrew R. Ramgeet,472,92,94,65,"$1,037,425.00","$2,198.00",19.00%,251,53.00%,2016
Eduardo E. Perez,307,40,38,36,"$1,037,110.00","$3,378.00",13.00%,114,37.00%,2016
Thomas L. Pompell,419,42,52,49,"$1,035,655.00","$2,472.00",10.00%,143,34.00%,2016
Bryan McNeil,340,58,34,52,"$1,029,470.00","$3,028.00",17.00%,144,42.00%,2016
Miguel A. Perez,337,75,51,39,"$1,027,427.00","$3,049.00",22.00%,165,49.00%,2016
Roberto J. Rosado,285,32,45,41,"$1,024,302.00","$3,594.00",11.00%,118,41.00%,2016
Juan C. Leyva,170,19,23,26,"$1,024,185.00","$6,025.00",11.00%,68,40.00%,2016
Jamie Theriot,275,26,37,32,"$1,017,660.00","$3,701.00",9.00%,95,35.00%,2016
Victor Lebron,278,42,40,41,"$1,016,912.00","$3,658.00",15.00%,123,44.00%,2016
Edgar S. Prado,117,22,17,18,"$1,015,282.00","$8,678.00",19.00%,57,49.00%,2016
Abel Lezcano,309,37,42,34,"$1,015,126.00","$3,285.00",12.00%,113,37.00%,2016
Jesus M. Rios,272,27,46,32,"$1,008,107.00","$3,706.00",10.00%,105,39.00%,2016
Richard Harvey Hamel,289,70,42,46,"$1,002,790.00","$3,470.00",24.00%,158,55.00%,2016
Glen Murphy,369,45,58,55,"$988,324.00","$2,678.00",12.00%,158,43.00%,2016
Erick D. Rodriguez,285,45,35,44,"$976,228.00","$3,425.00",16.00%,124,44.00%,2016
Agapito Delgadillo,283,32,29,35,"$973,693.00","$3,441.00",11.00%,96,34.00%,2016
Ricardo Chiappe,317,43,63,45,"$969,400.00","$3,058.00",14.00%,151,48.00%,2016
Quincy Hamilton,461,53,51,69,"$967,372.00","$2,098.00",11.00%,173,38.00%,2016
Chad Lindsay,332,41,40,43,"$960,570.00","$2,893.00",12.00%,124,37.00%,2016
Samuel E. Bermudez,637,84,71,88,"$957,226.00","$1,503.00",13.00%,243,38.00%,2016
"Euclyn E. Prentice, Jr.",704,85,85,85,"$955,830.00","$1,358.00",12.00%,255,36.00%,2016
David Charles Lopez,183,31,17,22,"$941,895.00","$5,147.00",17.00%,70,38.00%,2016
Sheena Ryan,354,31,39,36,"$938,990.00","$2,653.00",9.00%,106,30.00%,2016
Forest Boyce,268,24,28,33,"$937,577.00","$3,498.00",9.00%,85,32.00%,2016
Jorge Guzman,297,38,41,39,"$935,015.00","$3,148.00",13.00%,118,40.00%,2016
Larren Delorme,548,85,71,73,"$929,180.00","$1,696.00",16.00%,229,42.00%,2016
Gonzalo Nicolas,503,61,75,61,"$922,627.00","$1,834.00",12.00%,197,39.00%,2016
Jeffrey Ian Alderson,405,35,33,38,"$922,264.00","$2,277.00",9.00%,106,26.00%,2016
Terry J. Thompson,330,34,40,44,"$915,981.00","$2,776.00",10.00%,118,36.00%,2016
Daniel P. Vergara,297,55,48,51,"$906,467.00","$3,052.00",19.00%,154,52.00%,2016
Calvin H. Borel,202,19,24,15,"$906,058.00","$4,485.00",9.00%,58,29.00%,2016
"Michael A. Davila, Jr.",480,85,69,73,"$903,705.00","$1,883.00",18.00%,227,47.00%,2016
Israel Hernandez,595,86,76,83,"$902,252.00","$1,516.00",14.00%,245,41.00%,2016
Victor Rodriguez,622,53,79,89,"$895,683.00","$1,440.00",9.00%,221,36.00%,2016
Jesus Lopez Castanon,263,30,22,34,"$895,223.00","$3,404.00",11.00%,86,33.00%,2016
Marcos Meneses,281,34,43,43,"$888,751.00","$3,163.00",12.00%,120,43.00%,2016
Denny Velazquez,432,52,55,54,"$872,543.00","$2,020.00",12.00%,161,37.00%,2016
Alejandro Medellin,512,49,69,68,"$867,814.00","$1,695.00",10.00%,186,36.00%,2016
Hector Del-Cid,516,53,61,71,"$865,918.00","$1,678.00",10.00%,185,36.00%,2016
Frank Reyes,360,41,51,39,"$863,408.00","$2,398.00",11.00%,131,36.00%,2016
Jeremy Rose,269,43,32,40,"$862,568.00","$3,207.00",16.00%,115,43.00%,2016
Steven Ronald Bahen,247,24,31,29,"$862,187.00","$3,491.00",10.00%,84,34.00%,2016
Jorge Carreno,314,57,40,30,"$859,201.00","$2,736.00",18.00%,127,40.00%,2016
Tammi Piermarini,354,42,50,53,"$853,616.00","$2,411.00",12.00%,145,41.00%,2016
Leonel Reyes,278,33,47,36,"$849,290.00","$3,055.00",12.00%,116,42.00%,2016
