All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Martin Ortiz,82,12,12,12,"$53,883.00",$657.00,15.00%,36,44.00%,2016
Chester Bonnet,58,3,7,6,"$52,325.00",$902.00,5.00%,16,28.00%,2016
Yashira Tolentino,197,2,5,16,"$51,726.00",$263.00,1.00%,23,12.00%,2016
Janelle Campbell,51,3,6,10,"$51,171.00","$1,003.00",6.00%,19,37.00%,2016
Scott Williams,55,2,5,7,"$50,716.00",$922.00,4.00%,14,25.00%,2016
Kenny Santiago,36,2,4,3,"$50,344.00","$1,398.00",6.00%,9,25.00%,2016
Oscar Delgado,89,3,7,12,"$49,012.00",$551.00,3.00%,22,25.00%,2016
Jeramie Fennell,124,10,11,17,"$48,586.00",$392.00,8.00%,38,31.00%,2016
Cathleen J. Garner,74,3,2,6,"$48,554.00",$656.00,4.00%,11,15.00%,2016
Carlos Luis Gutierrez,47,3,6,5,"$48,413.00","$1,030.00",6.00%,14,30.00%,2016
Alexander Reznikov,24,1,5,5,"$48,065.00","$2,003.00",4.00%,11,46.00%,2016
Michael Phillip Iammarino,52,6,5,10,"$48,009.00",$923.00,12.00%,21,40.00%,2016
Jeffrey Sanchez,29,1,3,4,"$47,730.00","$1,646.00",3.00%,8,28.00%,2016
Neftali Perez,52,3,4,6,"$47,464.00",$913.00,6.00%,13,25.00%,2016
Phillip Clunis,79,14,11,13,"$47,301.00",$599.00,18.00%,38,48.00%,2016
Skye Chernetz,55,1,3,4,"$47,001.00",$855.00,2.00%,8,15.00%,2016
"Jorge L. Vargas, Jr.",77,1,6,2,"$46,853.00",$608.00,1.00%,9,12.00%,2016
Cesar Salcedo,41,1,6,3,"$46,630.00","$1,137.00",2.00%,10,24.00%,2016
Brian A. Cheyne,34,5,7,4,"$46,584.00","$1,370.00",15.00%,16,47.00%,2016
Manuel A. Rosario,68,1,1,6,"$46,304.00",$681.00,1.00%,8,12.00%,2016
Scott Sterr,62,10,7,13,"$46,295.00",$747.00,16.00%,30,48.00%,2016
Matthew Werner-Hagerty,114,4,11,9,"$46,205.00",$405.00,4.00%,24,21.00%,2016
Roderick Dacosta,29,6,1,2,"$46,184.00","$1,593.00",21.00%,9,31.00%,2016
Celso Rodriguez,70,3,1,5,"$45,790.00",$654.00,4.00%,9,13.00%,2016
Desmond Bryan,96,2,9,12,"$45,717.00",$476.00,2.00%,23,24.00%,2016
Jorge Espitia,28,3,7,4,"$45,453.00","$1,623.00",11.00%,14,50.00%,2016
Eddie Joe Zambrana,56,2,5,3,"$45,319.00",$809.00,4.00%,10,18.00%,2016
Eliazar T. Vera,90,3,8,9,"$44,892.00",$499.00,3.00%,20,22.00%,2016
Carlos Esquilin,65,4,3,1,"$44,756.00",$689.00,6.00%,8,12.00%,2016
Everton P. Bennett,71,3,11,9,"$44,645.00",$629.00,4.00%,23,32.00%,2016
Martin Solis,50,2,2,3,"$44,352.00",$887.00,4.00%,7,14.00%,2016
Ramon Romero,72,2,4,4,"$43,950.00",$610.00,3.00%,10,14.00%,2016
Mirko Sanna,52,3,2,4,"$43,911.00",$844.00,6.00%,9,17.00%,2016
Garfield Gordon,126,13,14,10,"$43,566.00",$346.00,10.00%,37,29.00%,2016
Seth B. Martinez,9,2,2,1,"$43,200.00","$4,800.00",22.00%,5,56.00%,2016
Duane Michael Salvino,63,5,4,3,"$43,127.00",$685.00,8.00%,12,19.00%,2016
Sheldon Chickeness,112,11,17,9,"$42,770.00",$382.00,10.00%,37,33.00%,2016
Robert Augustas Stewart,62,2,7,9,"$42,706.00",$689.00,3.00%,18,29.00%,2016
Rusty D. Shaw,18,2,3,0,"$42,620.00","$2,368.00",11.00%,5,28.00%,2016
Oral Bennett,130,9,15,23,"$42,360.00",$326.00,7.00%,47,36.00%,2016
Rumesh Selman,60,6,7,5,"$42,251.00",$704.00,10.00%,18,30.00%,2016
"Jorge E. Collazo, Jr.",36,5,3,4,"$42,083.00","$1,169.00",14.00%,12,33.00%,2016
Kathleen Marie Dregits,71,4,1,2,"$41,891.00",$590.00,6.00%,7,10.00%,2016
Tommy Turner,28,2,5,8,"$41,283.00","$1,474.00",7.00%,15,54.00%,2016
Alberto Delgado,33,1,3,2,"$41,179.00","$1,248.00",3.00%,6,18.00%,2016
Vince Halliday,65,1,2,10,"$41,121.00",$633.00,2.00%,13,20.00%,2016
Wallynette Rodriguez,49,2,2,2,"$40,458.00",$826.00,4.00%,6,12.00%,2016
Martin Escobar,44,2,2,5,"$40,132.00",$912.00,5.00%,9,20.00%,2016
Men B. Chen,54,6,8,8,"$40,079.00",$742.00,11.00%,22,41.00%,2016
Ruben Raul Calderon,50,4,2,1,"$39,807.00",$796.00,8.00%,7,14.00%,2016
Freddy Fuentes,65,8,7,11,"$39,802.00",$612.00,12.00%,26,40.00%,2016
Gallyn Vick Mitchell,40,3,2,3,"$39,205.00",$980.00,8.00%,8,20.00%,2016
Vicky Baze,21,2,4,3,"$39,185.00","$1,866.00",10.00%,9,43.00%,2016
Michael Grant,90,12,13,12,"$39,177.00",$435.00,13.00%,37,41.00%,2016
Jesus A. Bracho,11,0,4,3,"$39,165.00","$3,560.00",0.00%,7,64.00%,2016
Shawn Samuel,108,9,14,18,"$38,682.00",$358.00,8.00%,41,38.00%,2016
Shane Collins,76,3,6,9,"$38,383.00",$505.00,4.00%,18,24.00%,2016
Vimael Torres,30,3,3,1,"$38,235.00","$1,275.00",10.00%,7,23.00%,2016
Sarah Shaffer,21,3,0,3,"$38,102.00","$1,814.00",14.00%,6,29.00%,2016
Brandon Menard,32,2,2,3,"$37,915.00","$1,185.00",6.00%,7,22.00%,2016
Luis Ranilla,46,7,4,8,"$37,785.00",$821.00,15.00%,19,41.00%,2016
Daniel Ruiz Amaya,67,2,5,3,"$37,353.00",$558.00,3.00%,10,15.00%,2016
Ashley Yodice,35,2,3,2,"$37,220.00","$1,063.00",6.00%,7,20.00%,2016
Joey R. Martinez,15,1,1,2,"$37,201.00","$2,480.00",7.00%,4,27.00%,2016
Gabriel Garcia,40,1,0,1,"$37,192.00",$930.00,3.00%,2,5.00%,2016
Samuel Jimenez,51,0,3,8,"$37,016.00",$726.00,0.00%,11,22.00%,2016
Ramon Ramos,65,0,7,7,"$36,755.00",$565.00,0.00%,14,22.00%,2016
Joel Dominguez,84,1,3,7,"$36,557.00",$435.00,1.00%,11,13.00%,2016
"Carlos E. Lopez, Jr.",39,3,2,1,"$36,394.00",$933.00,8.00%,6,15.00%,2016
Danielle Sorese,34,2,4,4,"$35,990.00","$1,059.00",6.00%,10,29.00%,2016
Deborah Hoonan,21,5,5,4,"$35,975.00","$1,713.00",24.00%,14,67.00%,2016
Shaun Herman,60,13,8,4,"$35,933.00",$599.00,22.00%,25,42.00%,2016
Michael A. Henry,36,4,3,2,"$35,768.00",$994.00,11.00%,9,25.00%,2016
Jonathan Zayas,30,1,3,1,"$35,447.00","$1,182.00",3.00%,5,17.00%,2016
Jorge L. Vargas,38,3,2,1,"$34,896.00",$918.00,8.00%,6,16.00%,2016
Edgar Velasco,117,2,4,8,"$34,708.00",$297.00,2.00%,14,12.00%,2016
Walter Enrique Llagas,22,2,1,0,"$34,481.00","$1,567.00",9.00%,3,14.00%,2016
Aldo Arboleda,24,1,4,1,"$34,222.00","$1,426.00",4.00%,6,25.00%,2016
Jenn Miller,20,2,1,2,"$34,182.00","$1,709.00",10.00%,5,25.00%,2016
Valentino McBean,87,3,13,4,"$33,713.00",$388.00,3.00%,20,23.00%,2016
Robert M. Hastie,27,1,2,4,"$33,066.00","$1,225.00",4.00%,7,26.00%,2016
Ramon Rechy,30,3,1,1,"$32,940.00","$1,098.00",10.00%,5,17.00%,2016
Alice Cartwright,18,3,1,1,"$32,895.00","$1,828.00",17.00%,5,28.00%,2016
Mathieu G. Adam,87,2,3,6,"$32,718.00",$376.00,2.00%,11,13.00%,2016
Warren J. Ebow,57,0,2,8,"$32,555.00",$571.00,0.00%,10,18.00%,2016
Anthony Santiago,82,5,2,7,"$32,489.00",$396.00,6.00%,14,17.00%,2016
Akifumi Kato,44,2,6,3,"$32,433.00",$737.00,5.00%,11,25.00%,2016
Laureano Flores,32,0,3,2,"$32,270.00","$1,008.00",0.00%,5,16.00%,2016
Melissa Zajac,29,3,2,1,"$32,047.00","$1,105.00",10.00%,6,21.00%,2016
Oscar Becerra,18,4,1,1,"$31,935.00","$1,774.00",22.00%,6,33.00%,2016
Juan C. Enriquez,25,1,5,3,"$31,852.00","$1,274.00",4.00%,9,36.00%,2016
Alisson Anahi Nunez,51,1,5,3,"$31,520.00",$618.00,2.00%,9,18.00%,2016
Jerome Lermyte,46,2,2,6,"$31,422.00",$683.00,4.00%,10,22.00%,2016
Luis Robletto,26,1,7,4,"$31,380.00","$1,207.00",4.00%,12,46.00%,2016
Jorge O. Rocha,21,2,3,4,"$31,248.00","$1,488.00",10.00%,9,43.00%,2016
"Hector Rafael Diaz, Jr.",10,0,3,1,"$31,165.00","$3,117.00",0.00%,4,40.00%,2016
Cayetano Chaparro,45,2,2,3,"$29,175.00",$648.00,4.00%,7,16.00%,2016
Shawn Spikes,51,1,4,4,"$28,947.00",$568.00,2.00%,9,18.00%,2016
Jose Barnes,31,2,2,2,"$28,450.00",$918.00,6.00%,6,19.00%,2016
Reynier Arrieta,85,2,5,9,"$28,396.00",$334.00,2.00%,16,19.00%,2016
Bonfilio Velazquez,17,3,2,3,"$28,321.00","$1,666.00",18.00%,8,47.00%,2016
Rachel Goodgame,74,6,12,18,"$28,110.00",$380.00,8.00%,36,49.00%,2016
Jesus Osuna,60,9,7,7,"$28,082.00",$468.00,15.00%,23,38.00%,2016
Howard F. Newell,33,2,5,5,"$27,982.00",$848.00,6.00%,12,36.00%,2016
Jose Flores,6,1,1,1,"$27,965.00","$4,661.00",17.00%,3,50.00%,2016
Tyler Pizarro,17,1,4,1,"$27,580.00","$1,622.00",6.00%,6,35.00%,2016
Andrew Wright,81,7,6,6,"$27,488.00",$339.00,9.00%,19,23.00%,2016
Francisco Estrada,66,6,15,14,"$27,404.00",$415.00,9.00%,35,53.00%,2016
Kim Cecil,62,1,0,1,"$27,292.00",$440.00,2.00%,2,3.00%,2016
Luis Alberto Godoy,30,3,1,6,"$27,158.00",$905.00,10.00%,10,33.00%,2016
Dionicio Navarro,28,3,2,2,"$27,133.00",$969.00,11.00%,7,25.00%,2016
Ruben Camacho,112,8,7,18,"$26,965.00",$241.00,7.00%,33,29.00%,2016
Maicol J. Inirio,48,0,4,6,"$26,890.00",$560.00,0.00%,10,21.00%,2016
Laurina Bugeaud,40,4,9,6,"$26,379.00",$659.00,10.00%,19,48.00%,2016
Erasmo Martinez,20,1,3,1,"$26,060.00","$1,303.00",5.00%,5,25.00%,2016
Diego R. Sanchez,23,3,2,4,"$25,751.00","$1,120.00",13.00%,9,39.00%,2016
T. L. Collier,40,1,5,4,"$25,450.00",$636.00,3.00%,10,25.00%,2016
Jose J. Barajas,23,2,1,4,"$25,151.00","$1,094.00",9.00%,7,30.00%,2016
Nakia Ramirez,37,8,7,9,"$25,102.00",$678.00,22.00%,24,65.00%,2016
Eduardo Ulloa,23,0,2,0,"$24,976.00","$1,086.00",0.00%,2,9.00%,2016
Jomar Torres Roman,36,4,3,3,"$24,510.00",$681.00,11.00%,10,28.00%,2016
Rosie Higgins,21,1,0,1,"$24,170.00","$1,151.00",5.00%,2,10.00%,2016
Joel Campbell,8,2,0,4,"$24,120.00","$3,015.00",25.00%,6,75.00%,2016
Pablo Flores,61,0,3,1,"$24,059.00",$394.00,0.00%,4,7.00%,2016
Jesus J. Canales,22,5,6,2,"$23,859.00","$1,085.00",23.00%,13,59.00%,2016
Rely Carpio,29,1,5,2,"$23,833.00",$822.00,3.00%,8,28.00%,2016
Danush Sukie,42,1,1,4,"$23,420.00",$558.00,2.00%,6,14.00%,2016
Justine Klaiber,51,2,3,0,"$23,351.00",$458.00,4.00%,5,10.00%,2016
"Patrick Henry, Jr.",20,0,3,1,"$22,950.00","$1,148.00",0.00%,4,20.00%,2016
Kelly Bridges,56,2,4,4,"$22,897.00",$409.00,4.00%,10,18.00%,2016
Arnold Perez,62,0,2,8,"$22,832.00",$368.00,0.00%,10,16.00%,2016
Omar A. Berrio,16,2,2,2,"$22,600.00","$1,413.00",13.00%,6,38.00%,2016
Matt Seifers,52,8,6,10,"$22,294.00",$429.00,15.00%,24,46.00%,2016
Cordarelton Benn,40,4,10,5,"$22,150.00",$554.00,10.00%,19,48.00%,2016
Dwight Anthony Lewis,53,2,9,12,"$22,011.00",$415.00,4.00%,23,43.00%,2016
Lidio Barrientos,32,2,2,2,"$21,905.00",$685.00,6.00%,6,19.00%,2016
Silvio Ruiz Amador,2,2,0,0,"$21,900.00","$10,950.00",100.00%,2,100.00%,2016
Bryan Ernst,39,1,6,3,"$21,881.00",$561.00,3.00%,10,26.00%,2016
Rex A. Stokes III,5,0,2,1,"$21,760.00","$4,352.00",0.00%,3,60.00%,2016
Holly Gervais,37,6,5,9,"$21,488.00",$581.00,16.00%,20,54.00%,2016
Troy Crissup,22,1,0,2,"$21,475.00",$976.00,5.00%,3,14.00%,2016
Kenneth P. Deonauth,20,1,1,1,"$21,302.00","$1,065.00",5.00%,3,15.00%,2016
Michael Ybarra,68,4,9,4,"$21,082.00",$310.00,6.00%,17,25.00%,2016
"Rafael Rohena, Jr.",35,2,2,1,"$20,942.00",$598.00,6.00%,5,14.00%,2016
Rafael Holquin,30,0,1,2,"$20,770.00",$692.00,0.00%,3,10.00%,2016
Fernando De La Cruz-Nunez,14,0,1,2,"$20,750.00","$1,482.00",0.00%,3,21.00%,2016
Guillermo Muro,67,2,5,4,"$20,693.00",$309.00,3.00%,11,16.00%,2016
Felipe J. Santos,11,2,2,2,"$20,680.00","$1,880.00",18.00%,6,55.00%,2016
Raul Silvera,2,0,1,0,"$20,640.00","$10,320.00",0.00%,1,50.00%,2016
Jerry J. Diaz,50,2,3,9,"$20,597.00",$412.00,4.00%,14,28.00%,2016
Norlberto Guerrero,23,1,1,4,"$20,540.00",$893.00,4.00%,6,26.00%,2016
Ronald Beverly,55,2,5,6,"$20,479.00",$372.00,4.00%,13,24.00%,2016
Francisco Monroy,15,3,1,2,"$20,405.00","$1,360.00",20.00%,6,40.00%,2016
Pablo Gustavo Falero,2,0,0,0,"$20,345.00","$10,173.00",0.00%,0,0.00%,2016
Saul Arias,17,0,1,2,"$20,325.00","$1,196.00",0.00%,3,18.00%,2016
Juan Apango,29,5,3,8,"$20,157.00",$695.00,17.00%,16,55.00%,2016
Jose A. Ortega,1,0,1,0,"$20,000.00","$20,000.00",0.00%,1,100.00%,2016
Ismael Perez,44,3,3,2,"$19,999.00",$455.00,7.00%,8,18.00%,2016
Terry Bennett,31,11,2,6,"$19,874.00",$641.00,35.00%,19,61.00%,2016
Steven Fret,57,2,7,3,"$19,810.00",$348.00,4.00%,12,21.00%,2016
Rita M. Helton,20,1,1,1,"$19,694.00",$985.00,5.00%,3,15.00%,2016
Alex Bautista,19,2,3,5,"$19,615.00","$1,032.00",11.00%,10,53.00%,2016
Duane Lee Sterling,8,0,2,2,"$18,700.00","$2,338.00",0.00%,4,50.00%,2016
Vladimir Panov,8,1,3,1,"$18,680.00","$2,335.00",13.00%,5,63.00%,2016
Silvia Zapico,25,1,0,1,"$18,650.00",$746.00,4.00%,2,8.00%,2016
Carl Defreitas,37,0,1,3,"$18,532.00",$501.00,0.00%,4,11.00%,2016
Cassidy Burg,31,0,2,6,"$18,375.00",$593.00,0.00%,8,26.00%,2016
Corey Jordan,36,0,2,3,"$18,327.00",$509.00,0.00%,5,14.00%,2016
Jarelle Beckles,38,1,3,6,"$18,091.00",$476.00,3.00%,10,26.00%,2016
Dalton Brown,19,0,1,0,"$17,877.00",$941.00,0.00%,1,5.00%,2016
Anselmo Padilla,30,4,1,5,"$17,729.00",$591.00,13.00%,10,33.00%,2016
Augusto A. Marin,29,1,0,0,"$17,425.00",$601.00,3.00%,1,3.00%,2016
Narciso C. Cruz,43,0,1,3,"$17,393.00",$404.00,0.00%,4,9.00%,2016
Jorge Luis Vergara,6,1,1,2,"$17,390.00","$2,898.00",17.00%,4,67.00%,2016
Orayne Sewell,18,0,1,5,"$17,350.00",$964.00,0.00%,6,33.00%,2016
Oscar G. Mancilla,22,0,1,4,"$17,051.00",$775.00,0.00%,5,23.00%,2016
Ramiro Sanchez Castillo,37,5,1,5,"$17,007.00",$460.00,14.00%,11,30.00%,2016
Juan N. Delgado,12,2,0,2,"$16,950.00","$1,413.00",17.00%,4,33.00%,2016
Kelsey Camarillo-Faucon,15,2,0,3,"$16,730.00","$1,115.00",13.00%,5,33.00%,2016
Oscar Cervantes,22,4,3,2,"$16,545.00",$752.00,18.00%,9,41.00%,2016
Gary Wilbert Bain,23,1,1,1,"$16,480.00",$717.00,4.00%,3,13.00%,2016
Berkley R. Packer,7,0,2,1,"$16,260.00","$2,323.00",0.00%,3,43.00%,2016
Edmund N. Pechawis,43,3,6,8,"$16,235.00",$378.00,7.00%,17,40.00%,2016
Cesar A. Ordaz,48,0,2,1,"$16,227.00",$338.00,0.00%,3,6.00%,2016
Felipe Valdez,8,1,0,0,"$16,215.00","$2,027.00",13.00%,1,13.00%,2016
Jose I. Rodriguez,20,2,0,6,"$16,141.00",$807.00,10.00%,8,40.00%,2016
Kyriakos Triantafyllou,8,1,1,1,"$16,094.00","$2,012.00",13.00%,3,38.00%,2016
Tyson Lusk,20,3,5,4,"$16,065.00",$803.00,15.00%,12,60.00%,2016
Connie P. Doll,43,5,4,8,"$15,979.00",$372.00,12.00%,17,40.00%,2016
Jose Delgadillo,22,0,2,4,"$15,898.00",$723.00,0.00%,6,27.00%,2016
Angel M. Viera,13,3,2,1,"$15,239.00","$1,172.00",23.00%,6,46.00%,2016
Juan D. Lopez,11,0,2,4,"$15,190.00","$1,381.00",0.00%,6,55.00%,2016
Nikeela Renae Black,9,3,3,1,"$14,843.00","$1,649.00",33.00%,7,78.00%,2016
Luis A. Belmonte,24,0,1,3,"$14,832.00",$618.00,0.00%,4,17.00%,2016
Richard Monterrey,5,1,0,0,"$14,820.00","$2,964.00",20.00%,1,20.00%,2016
Carlton Malcolm,70,4,3,7,"$14,783.00",$211.00,6.00%,14,20.00%,2016
Chris Longie,40,2,11,6,"$14,690.00",$367.00,5.00%,19,48.00%,2016
Jarell James,28,4,5,4,"$14,554.00",$520.00,14.00%,13,46.00%,2016
Jose Antonio Figueroa,23,2,4,2,"$14,477.00",$629.00,9.00%,8,35.00%,2016
Alonzo Guajardo,2,1,0,0,"$14,430.00","$7,215.00",50.00%,1,50.00%,2016
Andres Osuna,18,4,2,2,"$14,364.00",$798.00,22.00%,8,44.00%,2016
Alejandro Moreno,30,1,2,3,"$14,359.00",$479.00,3.00%,6,20.00%,2016
Pedro Benitez,11,1,0,2,"$14,300.00","$1,300.00",9.00%,3,27.00%,2016
Benjamin Lopez,13,3,1,3,"$13,909.00","$1,070.00",23.00%,7,54.00%,2016
Antonio Jose Alfaro,10,1,1,0,"$13,680.00","$1,368.00",10.00%,2,20.00%,2016
Ariosto Delgado,2,0,1,1,"$13,643.00","$6,822.00",0.00%,2,100.00%,2016
Nathan Solomon,18,1,1,1,"$13,607.00",$756.00,6.00%,3,17.00%,2016
Edwin M. Castro,12,1,0,0,"$13,260.00","$1,105.00",8.00%,1,8.00%,2016
Tanner Thedford,15,1,4,0,"$13,222.00",$881.00,7.00%,5,33.00%,2016
Jose Manuel Contreras,5,1,0,0,"$13,170.00","$2,634.00",20.00%,1,20.00%,2016
Marcus Swiontek,10,0,2,1,"$12,985.00","$1,299.00",0.00%,3,30.00%,2016
Anthony Suarez,17,2,0,0,"$12,945.00",$761.00,12.00%,2,12.00%,2016
Anthony Cruz,4,0,3,0,"$12,830.00","$3,208.00",0.00%,3,75.00%,2016
Jeremy Herman,42,2,6,7,"$12,818.00",$305.00,5.00%,15,36.00%,2016
Joe Stokes,15,0,3,0,"$12,812.00",$854.00,0.00%,3,20.00%,2016
David Butcher,40,3,3,9,"$12,670.00",$317.00,8.00%,15,38.00%,2016
Angel Moreno,9,1,0,0,"$12,555.00","$1,395.00",11.00%,1,11.00%,2016
Vanessa Romberg,31,1,1,4,"$12,467.00",$402.00,3.00%,6,19.00%,2016
Rowdy J. Luark,7,1,2,0,"$12,400.00","$1,771.00",14.00%,3,43.00%,2016
Alex V. Anaya,20,2,4,1,"$12,198.00",$610.00,10.00%,7,35.00%,2016
Joel Bermudez,15,0,3,1,"$12,100.00",$807.00,0.00%,4,27.00%,2016
Lanfranco Dettori,1,0,0,1,"$12,000.00","$12,000.00",0.00%,1,100.00%,2016
Cody House,22,4,2,7,"$11,945.00",$543.00,18.00%,13,59.00%,2016
Jordan K. Olesiak,34,6,1,4,"$11,736.00",$345.00,18.00%,11,32.00%,2016
Anthony Medina,24,1,2,0,"$11,646.00",$485.00,4.00%,3,13.00%,2016
Arturo Romero,5,1,2,0,"$11,560.00","$2,312.00",20.00%,3,60.00%,2016
Sixto L. Castro,37,0,0,1,"$11,510.00",$311.00,0.00%,1,3.00%,2016
Neptali A. Ortiz,22,0,2,4,"$11,505.00",$523.00,0.00%,6,27.00%,2016
Martin Metcalf,20,0,2,1,"$11,490.00",$575.00,0.00%,3,15.00%,2016
Ramon Luna,13,1,0,2,"$11,409.00",$878.00,8.00%,3,23.00%,2016
Edgar Martinez,9,1,2,1,"$11,379.00","$1,264.00",11.00%,4,44.00%,2016
Luis L. Vivanco,8,1,5,1,"$11,280.00","$1,410.00",13.00%,7,88.00%,2016
John Rochabrun,8,0,3,1,"$11,140.00","$1,393.00",0.00%,4,50.00%,2016
Jacinto R. Herrera,12,0,2,0,"$11,020.00",$918.00,0.00%,2,17.00%,2016
Uriel Dominguez,22,2,2,4,"$10,881.00",$495.00,9.00%,8,36.00%,2016
John Raul Valenzuela,29,1,1,3,"$10,750.00",$371.00,3.00%,5,17.00%,2016
Thomas Bencomo,15,1,0,3,"$10,502.00",$700.00,7.00%,4,27.00%,2016
Juan Carlos Ramirez,17,2,5,2,"$10,452.00",$615.00,12.00%,9,53.00%,2016
Sarah Rook,19,1,0,1,"$10,231.00",$538.00,5.00%,2,11.00%,2016
Armando Ayuso,7,0,0,1,"$10,220.00","$1,460.00",0.00%,1,14.00%,2016
Charles Lyn McClellan,16,2,0,0,"$9,983.00",$624.00,13.00%,2,13.00%,2016
Hector Rivera,12,1,1,3,"$9,950.00",$829.00,8.00%,5,42.00%,2016
Isaac Chapa,20,1,0,2,"$9,844.00",$492.00,5.00%,3,15.00%,2016
Adrian Gonzalez,24,1,1,1,"$9,826.00",$409.00,4.00%,3,13.00%,2016
Amanda Auwarter,11,0,1,2,"$9,819.00",$893.00,0.00%,3,27.00%,2016
Jose A. Bracho,12,1,1,2,"$9,731.00",$811.00,8.00%,4,33.00%,2016
Gonzalo Galvaiz Gutierrez,17,1,1,4,"$9,665.00",$569.00,6.00%,6,35.00%,2016
Austin Reynolds,27,1,0,2,"$9,590.00",$355.00,4.00%,3,11.00%,2016
Pedro Requena,23,0,0,1,"$9,589.00",$417.00,0.00%,1,4.00%,2016
Pedro Chavarria Espinosa,8,2,2,1,"$9,546.00","$1,193.00",25.00%,5,63.00%,2016
Victor Briseno,35,0,1,2,"$9,543.00",$273.00,0.00%,3,9.00%,2016
John A. Castillo,9,1,0,0,"$9,525.00","$1,058.00",11.00%,1,11.00%,2016
Juan Carlos Rivas,31,0,2,3,"$9,384.00",$303.00,0.00%,5,16.00%,2016
J. Luis Torres,6,4,1,0,"$9,278.00","$1,546.00",67.00%,5,83.00%,2016
Carl Hebert,11,4,2,1,"$9,185.00",$835.00,36.00%,7,64.00%,2016
Juan De La Cruz,32,0,0,1,"$9,148.00",$286.00,0.00%,1,3.00%,2016
Juan A. Santiago,36,0,1,1,"$9,104.00",$253.00,0.00%,2,6.00%,2016
Derek C. Bell,19,0,1,0,"$9,102.00",$479.00,0.00%,1,5.00%,2016
Jason P. Lumpkins,12,0,1,2,"$9,000.00",$750.00,0.00%,3,25.00%,2016
Micah St. Hill,20,1,0,3,"$8,853.00",$443.00,5.00%,4,20.00%,2016
Jose Luis Enriquez,19,0,1,4,"$8,805.00",$463.00,0.00%,5,26.00%,2016
Garfield E. Garnett,28,0,0,1,"$8,676.00",$310.00,0.00%,1,4.00%,2016
Leroy Nelson,1,1,0,0,"$8,400.00","$8,400.00",100.00%,1,100.00%,2016
David Boraco,12,0,2,0,"$8,380.00",$698.00,0.00%,2,17.00%,2016
Jonathan Hernandez,21,0,1,1,"$8,270.00",$394.00,0.00%,2,10.00%,2016
Timothy P. Decuir,31,0,0,2,"$8,260.00",$266.00,0.00%,2,6.00%,2016
Keno Chandler,32,2,1,2,"$8,255.00",$258.00,6.00%,5,16.00%,2016
Peter J. Artieda,14,0,1,3,"$8,190.00",$585.00,0.00%,4,29.00%,2016
Jose Luis Cruz,14,0,0,0,"$8,020.00",$573.00,0.00%,0,0.00%,2016
Adrian Valenzuela,6,1,3,0,"$8,005.00","$1,334.00",17.00%,4,67.00%,2016
Dean Stimpson,14,0,0,1,"$7,880.00",$563.00,0.00%,1,7.00%,2016
Jennifer Fielding,19,1,0,1,"$7,859.00",$414.00,5.00%,2,11.00%,2016
Don C. LeBlanc,24,0,2,1,"$7,830.00",$326.00,0.00%,3,13.00%,2016
Robert Paz,21,0,0,0,"$7,761.00",$370.00,0.00%,0,0.00%,2016
Felimon Alvarado,29,4,3,4,"$7,718.00",$266.00,14.00%,11,38.00%,2016
Anthony J. Lovato,6,1,0,0,"$7,633.00","$1,272.00",17.00%,1,17.00%,2016
Eduard Kennis Rojas Fernandez,22,0,1,1,"$7,601.00",$346.00,0.00%,2,9.00%,2016
Francisco Orduna-Rojas,27,0,2,2,"$7,497.00",$278.00,0.00%,4,15.00%,2016
Vladimir P. Jensen,25,1,1,0,"$7,488.00",$300.00,4.00%,2,8.00%,2016
Elias Peltroche,8,0,1,0,"$7,429.00",$929.00,0.00%,1,13.00%,2016
Anthony W. Locke,12,1,0,0,"$7,395.00",$616.00,8.00%,1,8.00%,2016
James Ray Dailey,18,1,0,0,"$7,389.00",$411.00,6.00%,1,6.00%,2016
Alejandro Ortega,24,2,4,4,"$7,063.00",$294.00,8.00%,10,42.00%,2016
Antonio G. Perez,11,0,1,2,"$7,030.00",$639.00,0.00%,3,27.00%,2016
Carlos A. Diaz,7,0,1,2,"$6,918.00",$988.00,0.00%,3,43.00%,2016
Tzeonn Chang,4,0,0,0,"$6,917.00","$1,729.00",0.00%,0,0.00%,2016
Kirsten Swan,13,0,0,1,"$6,908.00",$531.00,0.00%,1,8.00%,2016
Marcelo Cardoso,17,0,0,1,"$6,805.00",$400.00,0.00%,1,6.00%,2016
Brian Beetem,6,3,0,1,"$6,760.00","$1,127.00",50.00%,4,67.00%,2016
Tyrone Carter,16,0,0,1,"$6,720.00",$420.00,0.00%,1,6.00%,2016
Mark Luark,22,0,0,4,"$6,689.00",$304.00,0.00%,4,18.00%,2016
Paolo Sirigu,2,0,2,0,"$6,600.00","$3,300.00",0.00%,2,100.00%,2016
Jose H. Sanches,17,0,0,2,"$6,489.00",$382.00,0.00%,2,12.00%,2016
Jacquelyn Bobroff,11,1,2,0,"$6,488.00",$590.00,9.00%,3,27.00%,2016
Andy Scarlett,14,0,3,0,"$6,407.00",$458.00,0.00%,3,21.00%,2016
Jesus Virgen,17,1,2,4,"$6,399.00",$376.00,6.00%,7,41.00%,2016
